call_id,target_id,target_number,name,global_keywords_new,extracted_phrases,phrase_count
6519,12,20251007112831,07102025-111138.516381000.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'line', 'identified_phrase': 'line'}]","raat, line",2
6204,11,20251007111832,07102025-111139.516381060.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'chuti', 'identified_phrase': 'chutti'}]",chutti,1
6229,11,20251007111832,07102025-111144.516381187.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'attack', 'identified_phrase': 'attack'}]",attack,1
6213,11,20251007111832,07102025-111144.516381192.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'camp', 'identified_phrase': 'camp'}]",camp,1
6207,11,20251007111832,07102025-111145.516381225.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'line', 'identified_phrase': 'line'}]",line,1
6075,11,20251007111832,07102025-111152.516381409.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'khatam', 'identified_phrase': 'khatm'}]",khatm,1
6219,11,20251007111832,07102025-111154.516381449.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'mobile', 'identified_phrase': 'mobile'}]",mobile,1
6240,11,20251007111832,07102025-111159.516381571.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'bat', 'identified_phrase': 'bat'}]",bat,1
6253,11,20251007111832,07102025-111201.516381626.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'branch', 'identified_phrase': 'branch'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'line', 'identified_phrase': 'line'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'un', 'identified_phrase': 'un'}]","branch, line, un",3
6251,11,20251007111832,07102025-111207.516381786.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'Kashmir', 'identified_phrase': 'kashmir'}]",kashmir,1
6232,11,20251007111832,07102025-111211.516381903.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}]",raat,1
6281,11,20251007111832,07102025-111220.516382151.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'banday', 'identified_phrase': 'banda'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'branch', 'identified_phrase': 'branch'}]","banda, branch",2
6402,11,20251007111832,07102025-111224.516382273.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'isi', 'identified_phrase': 'isi'}]",isi,1
6277,11,20251007111832,07102025-111225.516382309.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'sahab', 'identified_phrase': 'sahab'}]",sahab,1
6309,11,20251007111832,07102025-111226.516382325.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'khatam', 'identified_phrase': 'khatam'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'light', 'identified_phrase': 'light'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'ration', 'identified_phrase': 'ration'}]","khatam, light, ration",3
